2018-07-18 11:27:11.535 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:27:13.524 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.065 seconds (JVM running for 538.998)
2018-07-18 11:27:19.301 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:27:19.302 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:27:21.351 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.098 seconds (JVM running for 546.824)
2018-07-18 11:28:26.231 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:28:26.232 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:28:28.900 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.733 seconds (JVM running for 614.372)
2018-07-18 11:29:22.637 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:29:22.637 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:29:24.671 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.079 seconds (JVM running for 670.144)
2018-07-18 11:29:33.733 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:29:33.734 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:29:35.903 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.238 seconds (JVM running for 681.376)
